epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1157.36,0.12822,0.32512,0.91312,0.98905,1,0.995,0.995,0.18695,0.6033,0.70965,0.0003764,0.0003764,0.0003764
84,1177.75,0.11534,0.33884,0.90676,0.99054,1,0.995,0.995,0.163,0.60636,0.69381,0.0003566,0.0003566,0.0003566
85,1198.35,0.10935,0.27993,0.88979,0.99302,1,0.995,0.995,0.16196,0.56588,0.6858,0.0003368,0.0003368,0.0003368
86,1218.16,0.1158,0.29308,0.9175,0.99302,1,0.995,0.995,0.16196,0.56588,0.6858,0.000317,0.000317,0.000317
87,1238.32,0.10589,0.28233,0.9011,0.99473,1,0.995,0.995,0.16883,0.50951,0.685,0.0002972,0.0002972,0.0002972
88,1258.54,0.11274,0.30031,0.88539,0.99524,1,0.995,0.995,0.15839,0.462,0.67696,0.0002774,0.0002774,0.0002774
89,1279.84,0.10786,0.31607,0.92029,0.99534,1,0.995,0.995,0.1476,0.43946,0.6739,0.0002576,0.0002576,0.0002576
90,1300.4,0.10454,0.30105,0.90023,0.99534,1,0.995,0.995,0.1476,0.43946,0.6739,0.0002378,0.0002378,0.0002378
91,1321.32,0.13961,1.47245,0.89045,0.99525,1,0.995,0.995,0.15026,0.45726,0.67535,0.000218,0.000218,0.000218
92,1342.07,0.12686,1.33007,0.891,0.99516,1,0.995,0.995,0.16153,0.48469,0.68148,0.0001982,0.0001982,0.0001982
93,1361.22,0.14686,1.1552,0.99503,0.9951,1,0.995,0.995,0.17134,0.51073,0.68814,0.0001784,0.0001784,0.0001784
94,1381.09,0.15961,0.93291,0.97201,0.9951,1,0.995,0.995,0.17134,0.51073,0.68814,0.0001586,0.0001586,0.0001586
95,1401.26,0.12357,0.82415,0.89922,0.99503,1,0.995,0.995,0.17556,0.51355,0.69169,0.0001388,0.0001388,0.0001388
96,1421.69,0.15407,0.65688,1.02919,0.99485,1,0.995,0.995,0.18273,0.5591,0.69711,0.000119,0.000119,0.000119
97,1440.21,0.11161,0.63029,0.88605,0.99464,1,0.995,0.98436,0.1997,0.60982,0.71314,9.92e-05,9.92e-05,9.92e-05
98,1454.17,0.10182,0.58287,0.9352,0.99464,1,0.995,0.98436,0.1997,0.60982,0.71314,7.94e-05,7.94e-05,7.94e-05
99,1467.96,0.10052,0.60408,0.87673,0.99446,1,0.995,0.98436,0.20604,0.6569,0.72077,5.96e-05,5.96e-05,5.96e-05
100,1481.43,0.09549,0.5481,0.92692,0.99367,1,0.995,0.97373,0.20567,0.71637,0.72291,3.98e-05,3.98e-05,3.98e-05
